Gene_A,Gene_B
A0A024R5S0,DAB1
A0A024R5S0,PSMA3
A0A024R5S0,SP4
A0A024R5S0,BOLL
A0A024R5S0,RBPMS
A0A024R5S0,THAP1
TCL6,MEOX2
A0A024RA76,A0A024RA76
A0A024RA76,SDCBP
A0A024RA76,RBM39
A0A024RA76,SREK1IP1
A0A024RA76,THAP1
A0A024RA76,PRR13
TMEM80,WNT4
IGHV1-69-2,P04209
TCRBV2S1,TCRBV2S1
TRBC2,TRBC2
TRBC2,TRAC
TRBC2,HLA-A
TRBC2,CTAG1A|CTAG1B
KANSL1L,OPTN
RBM47,C1ORF94
RBM47,HSFY1|HSFY2
E2F8,EWSR1
E2F8,TFCP2
E2F8,FHL3
E2F8,ZDHHC17
E2F8,LZTR1
UBA6,SMAD9
UBA6,UBD
UBA6,UBC
UBA6,UCHL3
UBA6,CTPS1
UBA6,HDLBP
UBA6,HMBOX1
UBA6,USP48
UBA6,UBE2Z
ESYT2,ESYT2
HDV103S1,HDV103S1
MED19,F5CTF3
MED19,NFKBIA
MED19,DCK
MED19,MSX1
MED19,DHRS7B
MED19,FLJ10324
MED19,RADIL
MED19,MED10
UHRF1BP1L,ATXN1
WDR57,ACP5
WDR57,DDR1
SHTN1,SHTN1
SHTN1,BBOX1
SHTN1,FABP3
SHTN1,ESRRG
SHTN1,TFCP2
SHTN1,IGL@
SHTN1,MEGF10
SHTN1,NME7
BLR1,CCL3
SHISA3,PNMA1
TMEM120B,CCNDBP1
ND4,APC
TSSK1,HSP90AB1
TSSK1,TGFBR1
TSSK1,TGFBR2
ARHGAP10,SH3BP2
ARHGAP10,ANKS1A
LINC01588,KRT40
LINC01588,RBPMS
LINC01588,MDFI
KRTAP23-1,BHLHE40
KRTAP23-1,TNS2
KRTAP23-1,BHLHB2
KRTAP23-1,RBPMS
SLC22A23,PSMA3
SLC22A23,KRTAP5-9
SLC22A23,KRTAP10-8
SLC22A23,NOTCH2NL
SNX26,RAC1
CCDC64B,KLC3
ODAM,TOLLIP
ILVBL,TOM1
ILVBL,XRCC6
ILVBL,ATXN1
ILVBL,CEP76
ERICH2,SDCBP
ERICH2,H2AFY
ERICH2,IWS1
SYCE3,INPP1
SYCE3,HAUS1
SYCE3,BLOC1S6
ELOVL7,DTNBP1
MT1DP,MEOX2
MT1DP,KRTAP10-5
MT1DP,KRTAP10-9
C20ORF12,GFI1B
GAGE12B|GAGE12C|GAGE12D|GAGE12E,FLJ13057
GAGE12B|GAGE12C|GAGE12D|GAGE12E,GMCL1P1
GAGE12B|GAGE12C|GAGE12D|GAGE12E,GMCL1
NUTM2F,GRB2
NUTM2F,MORN4
NUTM2F,ZNF148
SSC5D,NUP62
SSC5D,TRAF1
SSC5D,MED21
SSC5D,NECAB2
SSC5D,DTNBP1
SSC5D,CEP170P1
SSC5D,EXOC7
SSC5D,SEC23IP
FSD2,LATS1
FSD2,FAM107A
FSD2,ESD
FSD2,ZNF20
FSD2,PSMB4
FSD2,AQP1
FSD2,CORO1A
FSD2,PBX3
FSD2,NGFRAP1
FSD2,FMR1
FSD2,AES
FSD2,MYBPC2
FSD2,PPP2R5D
FSD2,ZNF124
FSD2,ZSCAN26
FSD2,FAM161A
FSD2,ZC2HC1C
FSD2,TU3A
FSD2,PPP1R18
FSD2,CDC73
FSD2,KANSL1
FSD2,ZNF572
FSD2,ZNF410
FSD2,FAM90A1
FSD2,IFT20
FSD2,TCEANC
FSD2,CCDC112
FSD2,ZNF417
FSD2,CCHCR1
FSD2,PP2150
FSD2,PIK3R3
FSD2,LENG1
FSD2,ZMAT2
FSD2,ZNF587
FSD2,NDN
FSD2,BEX2
FSD2,SPATC1L
FSD2,BRD8
FSD2,Q9H6F0
FSD2,SH2D4A
FSD2,CBX8
FSD2,ZNF581
FSD2,POLL
FSD2,ZNF230
FSD2,MRPL11
FAM92A1,APPBP2
FAM92A1,CBY1
MACROD2,MACROD2
A2NI60,A2NI60
A2NUT2,IGH@
ZNF320,KRTAP10-5
ZNF320,KRTAP10-7
C1ORF104,WDR5
WDR27,B4DYC6
WDR27,ASNS
TMEM213,TCF4
TMEM213,MAT2A
NBAS,OLFM2
TARSL2,B2RDX5
TARSL2,TARS
TMEM218,PCNA
TMEM218,LDLRAD1
TMEM218,CREB3L1
SMCO3,MAPK9
SMCO3,TRIM39
HYKK,TRIP6
HYKK,FLJ13057
HYKK,GMCL1
LOC401296,ZDHHC17
TYW5,TYW5
MYBPHL,FHL3
MYBPHL,TNS2
MYBPHL,ZDHHC17
DCDC2B,FHL3
DCDC2B,MTUS2
DCDC2B,KRT40
DCDC2B,BANP
DCDC2B,RBPMS
DCDC2B,DKFZP761H172
SSPO,ATN1
SSPO,TTC28
SSPO,ATXN7L1
NRF,PRKRA
NRF,HMOX2
VWA8,MEGF10
ORC5L,ORC5L
ORC5L,CDC7
ORC5L,ORC4
ORC5L,CDC45
ORC5L,KRT18
ORC5L,MCM3
ORC5L,MCM5
ORC5L,CDKN2A
ORC5L,MCM2
ORC5L,LAMB2
ORC5L,CALCOCO2
ORC5L,ORC1
ORC5L,ORC2
ORC5L,NONO
ORC5L,DMRTA1
ORC5L,TXNDC11
ORC5L,TAX1BP1
ORC5L,CDC5L
ORC5L,CDC6
ORC5L,NIF3L1
ORC5L,UBQLN4
ORC5L,STAB1
ORC5L,SIPA1L2
ORC5L,ORC3
GTPBP10,GOLGA2
GTPBP10,MTUS2
GTPBP10,NECAB2
GTPBP10,PNMA1
CCM1,ITGB1BP1
FLJ34048,GOLGA2
FLJ34048,CDC23
DNCI1,NUDT21
DNCI1,KAT7
DNCI1,TK1
DNCI1,FBP1
DNCI1,RCC1
DNCI1,ANXA7
DNCI1,MCC
DNCI1,CDKN1A
DNCI1,RAP1GAP
DNCI1,DNM2
DNCI1,PIN1
DNCI1,DCTN1
DNCI1,GRB7
DNCI1,SMN1|SMN2
DNCI1,TAOK1
DNCI1,CADM4
DNCI1,RUNDC3B
DNCI1,FAM110A
DNCI1,FAM83D
DNCI1,C2ORF44
DNCI1,NAGK
WDR91,SDCBP
WDR91,ARIH2
WDR91,STX8
WDR91,NUDC
LCHN,SETBP1
FLJ10842,PDLIM1
FLJ10842,SNX4
FLJ10842,HCK
MBLAC1,MBLAC1
HRBL,ITSN1
MTMR11,SMAD9
C3ORF60,LSM1
EIF2C2,A8K1F4
EIF2C2,B4DYC6
EIF2C2,HSF2
EIF2C2,PSMD2
EIF2C2,FKBP5
EIF2C2,PTGES3
EIF2C2,NUDCD3
EIF2C2,Q96BE0
EIF2C2,AARSD1
EIF2C2,Q9HAV2
EIF2C2,STUB1
LRP5L,PLK1
LRP5L,CSNK2B
PI4KAP2,APPBP2
XIRP2,DYSF
XIRP2,NEBL
CLEC18A,KRT40
CLEC18A,ADAMTSL4
CLEC18A,NOTCH2NL
CLEC18A,DKFZP434K1772
VPS37C,WWP2
VPS37C,HGS
VPS37C,PLSCR1
VPS37C,SORBS3
VPS37C,PDCD6
VPS37C,STAM2
VPS37C,SORBS2
VPS37C,PSMA3
VPS37C,DDIT3
VPS37C,PKNOX1
VPS37C,XIAP
VPS37C,AES
VPS37C,GOLGA2
VPS37C,DAZAP2
VPS37C,CEP55
VPS37C,Q53FC3
VPS37C,RINT1
VPS37C,C1ORF94
VPS37C,RFX6
VPS37C,MAPK1IP1L
VPS37C,PP2150
VPS37C,FAM168A
VPS37C,TFG
VPS37C,RBPMS
VPS37C,TSG101
VPS37C,SH3GL1
VPS37C,HNRNPUL1
VPS37C,TFIP11
VPS37C,TACC3
CCDC151,SUV39H1
CCDC151,KDM1A
CCDC151,DKFZP451B226
CCDC151,NECAB2
CCDC151,TXLNB
CCDC151,CCDC114
CCDC151,SUV39H2
CCDC151,TFIP11
PSD,GNB5
PSD,GMFG
PSD,GLRA2
PSD,HEXDC
PSD,RAB40C
KRBA1,PLK1
CNOT1,CNOT1
CNOT1,CNOT3
CNOT1,CNOT4
CNOT1,DDX6
CNOT1,ZFP36
CNOT1,NANOS1
CNOT1,RQCD1
CNOT1,EIF4ENIF1
CNOT1,CNOT2
CNOT1,CNOT8
CNOT1,CNOT7
CARNS1,TRIP12
MEGF11,ATN1
CCDC88B,PBX2
CCDC88B,PLEKHA5
KLHL33,NUDCD3
GMNC,GMNC
IZUMO1R,IZUMO1R
IZUMO1R,IZUMO1
GOLGA6B,KAT2B
TMEM8B,ATXN1L
WDR97,FBXW7
GOLGA6L9,CACNA1A
TBC1D3F,YWHAE
TBC1D3F,HEL2
C5ORF60,KRTAP10-9
C5ORF60,KRT31
C5ORF60,FLJ13057
C5ORF60,KRT40
C5ORF60,NOTCH2NL
C5ORF60,GMCL1
C5ORF60,KRTAP3-2
WIPF3,WASL
FBLL1,ESR2
CCDC69,ACO1
CCDC69,PSMA3
CCDC69,ZAK
IGIP,MAPK8IP2
METTL15,TRIP13
PRR19,MEOX2
PRR19,KRT31
GLOD5,GLOD5
ZNF233,CACNA1A
CCDC85C,APPBP2
RFPL4A,RFPL4A
A6NN06,MDFI
NUTM2B,ATXN1
LRRIQ3,NCK2
A6XND8,GRB2
GOLGA8A,ITSN2
ZSWIM8,ATXN1L
ZSWIM8,ATXN1
ZSWIM8,ATN1
MYH7B,TNS2
MYH7B,SMYD1
MYH7B,ESR2
ARHGAP32,ARHGAP32
ARHGAP32,NCK2
ARHGAP32,FYN
ARHGAP32,ATXN1
ARHGAP32,CDC42
ARHGAP32,GRB2
ARHGAP32,AES
ARHGAP32,DZIP3
ARHGAP32,MEGF10
ARHGAP32,MDFI
ARHGAP32,LZTS2
ARHGAP32,ABI2
SRRM4,CACNA1A
SOBP,CTBP1
SOBP,CELF3
POM121C,APC
POM121C,STAT5A
POM121C,MEOX2
POM121C,ESR2
A8K008,S6BGD6
KNTC2,KNTC2
KNTC2,PFDN1
KNTC2,TOM1L1
KNTC2,NEK2
KNTC2,KLHL12
KNTC2,USHBP1
KNTC2,NUF2
KNTC2,CALCOCO1
KNTC2,BLOC1S6
KNTC2,AMOTL2
KNTC2,CCDC53
ZNF839,YWHAE
ZNF839,YWHAZ
ZNF839,WNK1
ZNF839,HEL2
WASH1,KIAA0196
WASH1,KIAA1033
WASH1,W0FFG4
A8K147,FGFR2
A8K1F4,B3KTT5
A8K1F4,HAX1
A8K1F4,IRS4
A8K1F4,GNB5
A8K1F4,TET3
A8K1F4,PSMD3
A8K1F4,CALU
A8K1F4,DNAJB6
A8K1F4,PRPF6
A8K1F4,REC8
A8K1F4,BAG2
A8K1F4,BAG3
A8K1F4,MOS
A8K1F4,RAF1
A8K1F4,TUBB4A
A8K1F4,ERBB2
A8K1F4,TP53
A8K1F4,RPN1
A8K1F4,LIG1
A8K1F4,GNAZ
A8K1F4,ERCC3
A8K1F4,MAOA
A8K1F4,UQCRC2
A8K1F4,DNAJB2
A8K1F4,GNA15
A8K1F4,CALCR
A8K1F4,MCM5
A8K1F4,MCM7
A8K1F4,GNAL
A8K1F4,CRAT
A8K1F4,GRK6
A8K1F4,PSMC4
A8K1F4,MCM2
A8K1F4,HCFC1
A8K1F4,MLF1
A8K1F4,NLRP12
A8K1F4,ETF1
A8K1F4,GNB1
A8K1F4,GNB2
A8K1F4,PSMD2
A8K1F4,SKP2
A8K1F4,SIM2
A8K1F4,RCN2
A8K1F4,SETDB1
A8K1F4,STK11
A8K1F4,KLHL38
A8K1F4,TSSC1
A8K1F4,Q59FM5
A8K1F4,Q59G26
A8K1F4,Q59H13
A8K1F4,FLJ00321
A8K1F4,CYFIP1
A8K1F4,GET4
A8K1F4,Q8IWP3
A8K1F4,SIRT6
A8K1F4,HUS1B
A8K1F4,MYHBETA
A8K1F4,RABGGTA
A8K1F4,SMARCD2
A8K1F4,KAT5
A8K1F4,Q96BE0
A8K1F4,DNAJC7
A8K1F4,BAG1
A8K1F4,AARSD1
A8K1F4,TSSK6
A8K1F4,TUBB1
A8K1F4,WDR55
A8K1F4,TLR7
A8K1F4,EIF2AK4
A8K1F4,COPG2
A8K1F4,HDAC6
A8K1F4,HSPB8
A8K1F4,BAG5
A8K1F4,ANKRD50
A8K1F4,G7
A8K1F4,STUB1
A8K1F4,DNM3
A8K1F4,NOD1
A8K1F4,FARSA
A8K1F4,AAR2
A8K1F4,GTF3C5
A8K1F4,COPG1
A8K222,FAM153C
A8K251,BAG2
A8K251,HSP90AB1
A8K251,MLF1
A8K251,Q96BE0
A8K251,AARSD1
A8K2I7,GSK3B
A8K2I7,LRP2
A8K2I7,ZFPM1
A8K2R3,KRT38
A8K2R3,PSMC3
A8K2R3,GOLGA2
A8K2R3,NMI
A8K2R3,TRIM54
A8K2R3,TRIM39
A8K2R3,CCDC53
A8K340,TERF1
A8K340,GOLGA2
A8K340,TINF2
A8K340,POT1
A8K379,CSNK2B
A8K379,KHDRBS1
A8K379,DOK1
A8K3Q9,PEX5
A8K4Y7,ZCWPW1
A8K5H9,ZBED1
A8K5H9,REL
A8K5H9,FAM208B
A8K5H9,C7ORF31
A8K5H9,LRRC29
HEL-S-103,TRIM38
HEL-S-103,HIVEP1
HEL-S-103,TGM2
HEL-S-103,ATXN1
HEL-S-103,PGAM5
HEL-S-103,POT1
HEL-S-103,HSPBP1
HEL-S-103,DAPP1
HEL-S-103,STUB1
HEL-S-103,RAPGEF2
A8K5M4,SORBS3
A8K673,CEBPE
A8K6G4,IGFBP3
A8K6K1,NCBP1
A8K6K1,ITSN1
A8K6K1,TRIM51
A8K6K1,ZNF451
MAP3K7IP1,HNRNPR
MAP3K7IP1,URB1
MAP3K7IP1,NXPH3
MAP3K7IP1,FN1
MAP3K7IP1,RPLP1
MAP3K7IP1,POLR3D
MAP3K7IP1,EPRS
MAP3K7IP1,PRKAR1A
MAP3K7IP1,CKB
MAP3K7IP1,CFL1
MAP3K7IP1,RPL10
MAP3K7IP1,LAP3
MAP3K7IP1,SERPINA4
MAP3K7IP1,PPP2R1A
MAP3K7IP1,CORO1A
MAP3K7IP1,CASP6
MAP3K7IP1,PPP2CB
MAP3K7IP1,RBX1
MAP3K7IP1,FADD
MAP3K7IP1,WTAP
MAP3K7IP1,PPP1R7
MAP3K7IP1,TRIP6
MAP3K7IP1,MAPK14
MAP3K7IP1,SNRNP35
MAP3K7IP1,DBN1
MAP3K7IP1,ASRGL1
MAP3K7IP1,MON1A
MAP3K7IP1,MAPKAPK5
MAP3K7IP1,PHC2
MAP3K7IP1,MICAL1
MAP3K7IP1,TRPC4AP
MAP3K7IP1,PTPMT1
MAP3K7IP1,PDCD6IP
MAP3K7IP1,KIFC2
MAP3K7IP1,CDK5RAP3
MAP3K7IP1,PHACTR3
MAP3K7IP1,ARAP1
MAP3K7IP1,ACAP3
MAP3K7IP1,CARD11
MAP3K7IP1,MTG2
MAP3K7IP1,C2ORF44
MAP3K7IP1,TAB2
MAP3K7IP1,C9ORF78
MAP3K7IP1,XPO7
MAP3K7IP1,LCMT1
MAP3K7IP1,POLDIP2
MAP3K7IP1,GIT1
MAP3K7IP1,TSSC4
A8K6V0,WWP2
A8K6V0,LMO4
A8K6V0,SEC23B
A8K8G8,PSMD4
A8K8G8,FRMD6
SFI1,SFI1
SFI1,CRX
SFI1,LPXN
SFI1,KRT19
SFI1,GCSH
SFI1,CETN2
SFI1,GOLGA2
SFI1,CCDC57
SFI1,FAM131C
SFI1,CCDC120
SFI1,RADIL
SFI1,MDFI
SFI1,SERTAD1
SFI1,MAD2L2
ZNF785,KRTAP10-1
ZNF785,KRTAP10-5
ZNF785,MTUS2
ZNF785,PRR7
ZNF785,EHMT2
ZNF785,HOOK1
ZNF785,MID2
A8K8Y5,MTUS2
A8K900,DOCK8
A8K932,TRIM37
A8K932,TRIM27
A8K932,KRTAP10-9
A8K932,IKZF1
A8K932,EFHC2
A8K932,JAKMIP2
A8K932,ZBTB8A
A8K932,PRMT6
A8K932,LZTS2
A8K932,CARD9
A8K932,SSX2IP
A8K940,RASSF5
A8K9C1,CEP55
A8KA83,ZBTB22
A8KA83,APOD
A8KA83,CACNG1
A8KA83,ADGRG7
A8KAD6,STX11
A8KAD6,TRIM37
A8KAD6,VIM
A8KAD6,TRIM27
A8KAD6,MEOX1
A8KAD6,CALCOCO2
A8KAD6,TP53BP2
A8KAD6,SF3B4
A8KAD6,NAB2
A8KAD6,CCDC57
A8KAD6,MTUS2
A8KAD6,KRT40
A8KAD6,RINT1
A8KAD6,TAX1BP1
A8KAD6,FAM9B
A8KAD6,HOOK2
A8KAD6,CCDC136
A8KAD6,LZTS2
A8KAD6,TRIM54
A8KAD6,TRIM9
